date,week,country,cases,death,temp,humidity,population,lat,long,prev_cases,prev_death,prev_cases2,prev_death2,school_closing,workplace_closing,cancel_public_event,rest_on_gathering,close_public_transp,stay_at_home,movement_rest,intern_travel
2020/11/02,45,SE,23141,143,9.7,87.6,25,59.334591,18.063240,16181,63,8182,32,100,100,200,300,100,100,0,300
2020/11/02,45,DK,7511,19,11.1,87,137,55.676098,12.568337,7388,21,5304,21,0,100,100,400,0,0,0,300
2020/11/02,45,NO,3662,3,7.6,80.8,15,59.911491,10.757933,2331,3,1096,1,100,100,200,300,0,100,100,200
2020/11/02,45,FI,1272,4,8.2,86.1,18,60.192059,24.945831,1461,5,1359,2,100,100,100,300,0,0,0,300
2020/11/09,46,SE,32773,207,6.7,91.3,25,59.334591,18.063240,23141,143,16181,63,100,100,200,300,100,100,100,300
2020/11/09,46,DK,7145,17,8,88.7,137,55.676098,12.568337,7511,19,7388,21,200,100,100,400,0,100,100,300
2020/11/09,46,NO,4001,9,3.6,97.5,15,59.911491,10.757933,3662,3,2331,3,100,200,200,400,0,100,100,200
2020/11/09,46,FI,1717,7,7.7,89.7,18,60.192059,24.945831,1272,4,1461,5,100,100,100,300,0,0,0,300
2020/11/16,47,SE,30124,299,7.6,85.4,25,59.334591,18.063240,32773,207,23141,143,100,100,200,300,100,100,100,300
2020/11/16,47,DK,2500,24,9.1,85.8,137,55.676098,12.568337,7145,17,7511,19,100,100,100,400,0,100,100,300
2020/11/16,47,NO,4212,12,5.3,86.8,15,59.911491,10.757933,4001,9,3662,3,100,200,200,400,0,100,100,200
2020/11/16,47,FI,2114,6,4.1,90.6,18,60.192059,24.945831,1717,7,1272,4,100,100,100,300,0,0,0,300
2020/11/23,48,SE,35896,427,4.6,86.4,25,59.334591,18.063240,30124,299,32773,207,100,200,200,400,100,100,100,300
2020/11/23,48,DK,8496,42,5.9,89.3,137,55.676098,12.568337,2500,24,7145,17,100,100,100,400,0,100,0,300
2020/11/23,48,NO,3309,22,1.5,82.7,15,59.911491,10.757933,4212,12,4001,9,100,200,200,400,0,100,100,200
2020/11/23,48,FI,3091,18,4.5,88.6,18,60.192059,24.945831,2114,6,1717,7,100,100,200,300,0,0,0,300
2020/11/30,49,SE,36748,452,2.7,91.7,25,59.334591,18.063240,35896,427,30124,299,100,200,200,400,100,100,100,300
2020/11/30,49,DK,11856,55,3.6,82.3,137,55.676098,12.568337,8496,42,2500,24,100,100,100,400,0,100,0,300
2020/11/30,49,NO,2624,26,-1,97.1,15,59.911491,10.757933,3309,22,4212,12,100,200,200,400,0,100,100,200
2020/11/30,49,FI,2911,22,2.8,89.3,18,60.192059,24.945831,3091,18,2114,6,100,200,200,400,0,0,0,300
2020/12/07,50,SE,40703,486,4,90.3,25,59.334591,18.063240,36748,452,35896,427,200,200,200,400,100,100,100,300
2020/12/07,50,DK,20524,57,5,87.5,137,55.676098,12.568337,11856,55,8496,42,100,200,100,400,0,100,0,300
2020/12/07,50,NO,2651,33,1,97.5,15,59.911491,10.757933,2624,26,3309,22,100,200,200,400,0,100,100,200
2020/12/07,50,FI,3232,38,-0.6,81.7,18,60.192059,24.945831,2911,22,3091,18,200,200,200,400,0,100,0,300
2020/12/14,51,SE,46511,610,4.9,93.4,25,59.334591,18.063240,40703,486,36748,452,200,200,200,400,100,100,100,300
2020/12/14,51,DK,25046,84,6.5,93,137,55.676098,12.568337,20524,57,11856,55,200,200,200,400,0,100,0,300
2020/12/14,51,NO,2753,17,0.4,98.9,15,59.911491,10.757933,2651,33,2624,26,100,200,200,400,0,100,100,200
2020/12/14,51,FI,2132,36,0.9,93.3,18,60.192059,24.945831,3232,38,2911,22,200,200,200,400,0,100,0,300
